epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.4547459692810662,0.8701657458563536,0.875825495057212,0.8699264805247356,0.8716249063803309,9.804782915115357,0.38801261829652994,0.7101851851851853,0.4039425570376068,0.4020562885891598
2,0.13584123557666317,0.9625098658247829,0.9624609431803943,0.9629920839648806,0.9626083976840277,0.2584137896075845,0.9511041009463722,0.9612749369188777,0.9563611852787556,0.9558212570083185
3,0.11546040248940699,0.9660615627466457,0.9661436396294709,0.9672115051084733,0.9666190819157128,0.210177743434906,0.9574132492113565,0.9635727275378224,0.9600195510878468,0.9605095860877544
4,0.06391382016299758,0.9775059194948698,0.9781259933998033,0.9780795442273297,0.9780935520044418,0.1679903767304495,0.9605678233438486,0.9672665826307469,0.9633175217532882,0.9628740305091181
5,0.10268432144948747,0.9684293606945541,0.9686781948458352,0.968810010283185,0.9687286154659749,0.09937031895387918,0.973186119873817,0.9734413653454214,0.9754844213068873,0.9734596210034224
6,0.036071300882758804,0.9877663772691397,0.987583534641702,0.9883857879663269,0.9879746168020563,0.1115473919082433,0.9779179810725552,0.9795744378215552,0.9780950641270534,0.9786241831756008
7,0.0530676944879815,0.9869771112865036,0.9871974277439388,0.9869920442788274,0.9870739586879947,0.13729685154394247,0.9858044164037855,0.9868330464716006,0.9868763020028275,0.9864777832617637
8,0.038545085555233526,0.9881610102604578,0.9883646658383196,0.9885800223640315,0.9884617434133942,0.08567607392578794,0.9858044164037855,0.9869312169312169,0.9868324038465502,0.9864773067993541
9,0.02123146481881122,0.994475138121547,0.9943558347474859,0.9946705408695189,0.9945074570945917,0.04521894492499996,0.9905362776025236,0.9907166933859497,0.9913100157868489,0.9908962057202455
10,0.019482192272153042,0.9936858721389108,0.9938591925368842,0.9937560532437795,0.993796275230984,0.07140282543987268,0.9842271293375394,0.986627064505203,0.9849093269234732,0.9854163467074988
